BEGIN MOTOR   .AMP 
NR   NAME                            I-MAX    I-N      U-IMAX
0    6SN1123-1AA00-0AA0-1FT6         10       5        5,59
1    6SN1123-1AA00-0AA1-1FT6         10       5        5,59    
2    6SN1123-1AA00-0BA0-1FT6         18       9        5,59
3    6SN1123-1AA00-0BA0-1PH          16       8        4,96
4    6SN1123-1AA00-0BA1-1FT6         18       9        5,59                    
5    6SN1123-1AA00-0BA1-1PH          16       8        4,96    
6    6SN1123-1AA00-0CA0-1FT6         36       18       5,59
7    6SN1123-1AA00-0CA0-1PH          32       24       4,96
8    6SN1123-1AA00-0CA1-1FT6         36       18       5,59    
9    6SN1123-1AA00-0CA1-1PH          32       24       4,96    
10   6SN1123-1AA00-0DA0-1FT6         56       28       5,59
11   6SN1123-1AA00-0DA0-1PH          51       30       5,08
12   6SN1123-1AA00-0DA1-1FT6         56       28       5,59    
13   6SN1123-1AA00-0DA1-1PH          51       30       5,08    
14   6SN1123-1AA00-0EA0-1FT6         112      56       5,59
15   6SN1123-1AA00-0EA0-1PH          102      60       5,08
16   6SN1123-1AA00-0EA1-1FT6         112      56       5,59    
17   6SN1123-1AA00-0EA1-1PH          102      60       5,08    
18   6SN1123-1AA00-0GA0-1PH          76       45       3,793   
19   6SN1123-1AA00-0HA0-1FT6         6        3        5,59
20   6SN1123-1AA00-0HA1-1FT6         6        3        5,59    
21   6SN1123-1AA00-0JA0-1PH          193      120      5,59
22   6SN1123-1AA00-0JA1-1PH          193      120      5,59    
23   6SN1123-1AA00-0KA0-1PH          257      200      5,59
24   6SN1123-1AA00-0KA1-1PH          257      200      5,59    
25   6SN1123-1AA00-0LA0-1PH          76       45       5       
26   6SN1123-1AA00-0LA1-1PH          76       45       5       
27   6SN1123-1AA01-0FA0-1FT6         140      70       5,59
28   6SN1123-1AA01-0FA0-1PH          127      85       5,06
29   6SN1123-1AA01-0FA1-1FT6         140      70       5,59    
30   6SN1123-1AA01-0FA1-1PH          127      85       5,06    
31   6SN1123-1AB00-0AA0-1FT6         10       5        5,59
32   6SN1123-1AB00-0AA1-1FT6         10       5        5,59        
33   6SN1123-1AB00-0BA0-1FT6         18       9        5,59
34   6SN1123-1AB00-0BA1-1FT6         18       9        5,59    
35   6SN1123-1AB00-0CA0-1FT6         36       18       5,59
36   6SN1123-1AB00-0CA1-1FT6         36       18       5,59    
37   6SN1123-1AB00-0HA0-1FT6         6        3        5,59
38   6SN1123-1AB00-0HA1-1FT6         6        3        5,59    
39   BSC1010-704                     20       10       5,59
40   BSC1015-700                     30       15       5,59
41   HDD12.2-W040N                   28,3     10,6     5,66         
42   HDS12.2-W040N                   28,3     14,2     5,66    
43   HDS13.2-W075N                   53       28,3     5,66     
44   HDS13.2-W100N                   70,7     35,4     5,66       
45   HDS14.2-W200N                   141,4    84,9     5,66  
46   HEIDENHAIN-14A-QSY              28,5     14       5,66
47   HEIDENHAIN-15A-QSY              30       15       5,66     
48   HEIDENHAIN-19A-QAN              28,5     19       5,66
49   HEIDENHAIN-20A-QAN              30       20       5,66     
50   HEIDENHAIN-23A-QSY              46       23       5,66    
51   HEIDENHAIN-31A-QAN              46       31       5,66    
52   HEIDENHAIN-32A-QSY              64       32       5,66    
53   HEIDENHAIN-50A-QAN              64       50       5,66    
54   HEIDENHAIN-7,5A-QSY             15       7,5      5,66   
55   HEIDENHAIN-UM113-32A-QSY        64       32       5,66    
56   HEIDENHAIN-UM113-50A-QAN        64       50       5,66    
57   HEIDENHAIN-UM114-48A-QSY        96       48       5,66     
58   HEIDENHAIN-UM114-75A-QAN        96       75       5,66     
59   HEIDENHAIN-UM1x1-7,5A-QSY       15       7,5      5,66    
60   HEIDENHAIN-UM1x1B-15A-QSY       30       15       5,66     
61   HEIDENHAIN-UM1x1B-20A-QAN       30       20       5,66    
62   HEIDENHAIN-UM1x2-23A-QSY        46       23       5,66    
63   HEIDENHAIN-UM1x2-31A-QAN        46       31       5,66    
64   SPG-ASYNCHRON-(ASM,SPINDLE)     0,707    0,495    5,303   
65   SPG-SYNCHRON-(SM)               0,7      0,5      5       
66   ***
[END]
BEGIN MOTOR   .SN 
NR   NAME                            I-N      N-N    N-MAX  PZ STR  DIRECT. T-MAX I-MAX  M-CON U-CON 
47   1PH7176-2NF0                    Y   77,8     350  1500   50,8  335  31,9     41     30     159    244    6160   2400   1700   6500   122  100 2  0,0037 2048  +       150   124,48   37000  0,23  0     
48   1PH7184-2NE0                    Y   85       380  1250   42,3  371  46,2     50     31     154    254    4480   2030   1355   5000   126  97  2  0,0037 2048  +       150   136      40000  0,5   0     
49   1PH7184-2NT0                    Y   76       235  500    17,5  227  40       95     56     120    180    3200   1350   900    5000   134  100 2  0,0037 2048  +       150   121,6    21500  0,5   0     
50   1PH7186-2NE0                    Y   120      400  1250   42,3  390  63       39     23     113    195    3460   1928   1285   5000   130  92  2  0,0037 2048  +       150   192      60000  0,67  0     
51   1PH7186-2NT0                    Y   106      228  500    17,4  221  56       58     39     79     126    2285   1410   940    5000   133  100 2  0,0037 2048  +       150   169,6    29600  0,67  0     
52   ADP134C-B350B1                  Y   55       248  1500   51    241  26       66     47     157    155    5200   3000   1500   7500   145  100 2  0,0037 2048  +       140   96       18000  0,076 0              
53   ADP134D-B350A1                  Y   52       387  1500   50,9  379  26,2     86     71     223    240    8123   1500   7500   7500   145  100 2  0,0037 2048  +       140   160      26000  0,118 0     
54   ADP164B-B350A1                  Y   57       470  1500   50    458  28       100    90     215    230    9100   2250   1500   6000   140  100 2  0,0037 2048  +       140   140      35000  0,185 0     
55   DKE320-240/165/100-6            D   56       400  2480   125   380  40       40     33     165    298    4881   10000  2500   12000  120  100 3  0,004  256   -       150   79       20000  0,21  121   
56   DKE320-240/165/100-6            Y   54       303  1020   53    283  27       119    97     210    379    6208   5600   1400   12000  131  100 3  0,004  256   -       150   79       20000  0,21  121   
57   DME112.54.4.FFS-D1867           D   47,1     390  4500   151   350  33,6     61     29     260    205    6014   5000   4500   18000  130  100 2  0,0037 384   +       130   110      20000  0,061 0        
58   DME112.54.4.FFS-D1867           Y   56,7     280  1500   52,2  250  27,3     182    87     248    200    5287   2500   2000   4500   130  100 2  0,0037 384   +       130   110      20000  0,061 0        
59   DME132.AS.4.FFS-D2077           D   37,5     390  4500   151   364  23       34     28     377    339    9398   6000   4500   12000  105  100 2  0,0037 1024  +       150   76       17000  0,115 0    
60   DME132.AS.4.FFS-D2077           Y   43       340  1500   51    313  28,8     103    79     338    312    6975   3000   1655   4500   130  100 2  0,0037 1024  +       150   86       17000  0,115 0    
61   DME132.AS.4.FFS-D2077           D   58       345  3100   104,3 320  33,7     34     26     249    225    5854   6000   3370   12000  120  100 2  0,0037 1024  +       150   116      25000  0,115 0    
62   DME132.AS.4.FFS-D2077           Y   58       370  1500   51,3  338  35,4     103    79     325    302    5702   2000   1520   3100   140  100 2  0,0037 1024  +       150   116      25000  0,115 0    
63   DMQ112.AM.4.AFS                 Y   37       300  1495   51,5  277  22,4     157    131    330    339    7393   10000  1950   10500  150  100 2  0,0037 2048  +       155   59,2     13000  0,047 0     
64   DMQ112.AM.4.AFS-256             Y   37       300  1495   51,5  277  22,4     157    131    330    339    7393   6000   1950   10500  150  100 2  0,0037 256   +       155   59,2     13000  0,047 0      
65   DMQ132.AM.4.AFS-D2079           Y   58       315  1500   51    291  34,8     66     53     227    214    5006   6000   1860   11000  140  100 2  0,0037 256   +       150   92,8     22000  0,099 0     
66   DMQ160.56.6.COS-D2144           D   85       400  2000   101   347  75       24     25     192    302    2907   3580   2000   8000   110  100 3  0,0037 2048  +       155   153      18000  0,36  0
67   DMQ160.56.6.COS-D2144           Y   89       220  560    30    190  50       73     76     168    263    2385   1570   1020   2000   123  100 3  0,0037 2048  +       155   160      25000  0,36  0
68   DMQ160.70.6.COS-D2086           D   78       290  1500   76,2  256  48,7     30     32     189    296    3251   8000   2000   8000   120  100 3  0,0037 2048  +       155   140      25000  0,36  0        
69   DMQ160.70.6.COS-D2086           Y   84       285  560    29,7  247  51       91     96     208    327    3017   1500   780    1500   130  100 3  0,0037 2048  +       155   151      25000  0,36  0        
70   DMR132.AS.4.FFS-D2072           Y   58,3     310  1500   51,2  285  33,3     82     60     254    236    5127   5000   1815   11000  140  100 2  0,0037 256   +       150   104,9    22000  0,08  0     
71   DMR180.AL.4.FOS-D1797           D   47       420  1200   41    400  26,1     76     50     252    253    9020   1500   1200   6000   130  100 2  0,0037 2048  +       155   85       20000  0,49  0        
72   DMR180.AL.4.FOS-D1797           Y   66       320  390    14    300  27,5     230    140    226    241    6500   700    510    1200   130  100 2  0,0037 2048  +       155   119      26000  0,49  0
73   DMS100.46.4.FDS-D2106           D   34       403  4500   151   374  22,5     77     63     450    500    10925  8900   4500   16000  120  100 2  0,0037 256   +       150   86       10000  0,036 0      
74   DMS100.46.4.FDS-D2106           Y   43       228  1100   39,3  202  16       232    190    321    376    7162   3500   1900   8000   130  100 2  0,0037 256   +       150   86       10000  0,036 0      
75   DMS100.46.4.FDS-D2109           Y   52       170  1100   41    153  22,6     141    134    208    172    3910   5300   2948   18000  150  100 2  0,0037 256   +       150   101      10000  0,038 500   
76   DMS100.46.4.FDS-D2180           Y   39       410  2100   73,3  375  19,3     247    221    644    526    11220  6500   2150   12000  150  100 2  0,004  256   +       150   78       19000  0,037 0      
77   DMS100.46.4.FOS-D2136           D   60       350  4700   159   322  35,8     47     44     289    231    4850   6800   5600   18000  127  100 2  0,004  256   +       150   120      25000  0,038 0        
78   DMS100.46.4.FOS-D2136           Y   52       418  2800   97,5  376  25       141    134    499    409    8860   4000   2800   18000  140  100 2  0,0037 256   +       150   104      25000  0,038 0
79   DMS100.AL.4.FDS-D2182           Y   39       418  1500   53    397  23,5     300    242    588    704    9760   3420   1500   10000  186  100 2  0,0037 256   +       150   78       16800  0,039 0              
80   DMS100.AL.4.FOS-D1833           Y   26,3     330  1100   39,0  310  14,5     422    335    616    738    13140  1800   1300   8000   130  100 2  0,0037 256   +       150   42,08    10000  0,032 0
81   DMS100.AL.4.FOS-D1833           D   30,0     330  2000   68,0  310  24,0     141    112    360    431    7940   2800   2300   15000  130  100 2  0,0037 256   +       150   48       10000  0,032 0
82   DMS100.AL.4.FOS-D1842           Y   39       240  1100   39,0  216  25,1     208    180    286    346    5233   2300   1700   4000   130  100 2  0,0037 256   +       150   62,4     10000  0,032 0 
83   DMS100.AL.4.FOS-D1842           D   30       390  4000   134   360  24,5     69     53     370    430    8840   4500   4000   15000  130  100 2  0,0037 256   +       150   48       10000  0,032 0 
84   DMS100.AL.4.FOS-D1932           Y   44,0     210  1100   39,0  190  26,4     165    127    228    275    4364   4000   2040   12000  150  100 2  0,0037 256   +       150   70,4     10000  0,032 0
85   DMS100.AL.4.FOS-D2011           Y   54       170  1100   38,8  153  33,7     107    85     150    178    2760   9999   2530   15000  150  100 2  0,0037 256   +       150   86,4     10000  0,032 0        
86   DMS100.AL.4.FOS-H1              Y   44,0     210  1100   39,0  190  26,4     165    127    228    275    4364   2500   2000   8000   130  100 2  0,0037 256   +       150   85       10000  0,032 0
87   DMS100.AL.4.FOS-H2              Y   44,0     210  1100   39,0  190  26,4     165    127    228    275    4364   2500   2000   8000   130  100 2  0,0037 256   +       150   85       10000  0,032 0
88   DMS100.AL.4.FOS-H2              D   30,0     390  5000   167,5 360  22,8     55     42     378    433    9494   6000   5000   15000  130  100 2  0,0037 256   +       150   160      10000  0,032 0
89   DMS112.36.4.FOS-D2082           Y   54,4     164  1100   39,4  149  31       112    94     175    141    2879   10000  2515   15000  150  100 2  0,0037 256   +       155   80       10000  0,039 0     
90   DMS112.AM.4.AFS-D2052           Y   33,5     300  1500   51,5  278  20,1     149    131    340    345    8264   5000   1875   9000   150  100 2  0,0037 256   +       150   60,3     12000  0,041 0              
91   DMS132.AM.4.FDS-D2162           Y   74       235  1100   38    217  35       66     54     169    159    3736   3560   1872   7000   142  100 2  0,0037 512   +       150   133,2    22000  0,124 0              
92   EMSNKSKS1136/12000              Y   42       210  1100   39,5  178  22       122    150    284    191    4770   2550   2100   12000  137  100 2  0,004  256   +       150   67,2     10000  0,03  0
93   EMSNKSKS1136/18000              Y   45       198  1100   39,5  177  23       110    133    252    169    4140   2640   2200   18000  137  100 2  0,004  256   +       150   90       10000  0,03  210         
94   EMSNKSKS1136Y18000              D   45       380  4300   145   330  27       41     55     373    249    7267   6000   4500   18000  110  100 2  0,0037 256   +       150   90       19000  0,025 0      
95   EMSNKSKS1136Y18000              Y   42       212  1100   39,5  188  22,5     122    165    284    191    4900   4000   2200   4300   130  100 2  0,0037 256   +       150   84       10000  0,025 0 
96   Etel-TMA530-100-3VD             Y   47,6     395  100    73,3  260  0        700    0      0      0      4500   500    500    500    100  100 44 0,004  16384 -       150   74,8     17500  0,95  0
97   EV150-220.6-AS1156              D   60       270  2850   150   250  35       80     78     38     38     3700   11720  4500   16000  100  100 3  0,0037 360   +       130   76       18000  0,026 200        
98   FA.180.CU.S.P                   Y   38       380  9950   334   367  26       45     40     310    340    8200   16370  9950   23820  125  100 2  0,0039 256   +       130   67       15000  0,012 341   
99   FAEMAT-180.CU.S                 Y   36       365  9890   333   353  23       110    50     290    320    8700   10400  15800  30000  106  100 2  0,0039 256   +       120   67       15000  0,012 341        
100  GAMFIOR-E13469                  Y   61       176  1094   41    170  39,7     110    224    315    269    5198   10000  2640   18000  150  100 2  0,0039 256   +       155   80       10000  0,062 0        
101  GMN.HC.140SC-42000/8            Y   19       350  29400  500   331  5        290    150    2100   700    37300  51990  29400  42000  125  100 1  0,0037 256   +       150   38       8000   0,002 350   
102  GMN.HCS.200-12000/15            Y   59       212  1660   60    189  30       100    95     130    155    3880   5770   3530   12000  150  100 2  0,0037 256   +       130   94,4     15000  0,038 0    
103  GMN.HCS.200-18000/15            Y   59       212  1660   60    189  30       100    95     130    155    3880   5770   3530   18000  150  100 2  0,0037 256   +       130   94,4     15000  0,038 0    
104  GMN.HCS.200-30000/15            Y   44,0     250  11750  200   210  14       90     50     410    180    8630   16630  16630  30000  100  100 1  0,004  256   +       150   100      15000  0,02  170
105  GMN.HCS.230-24000/18            D   55       350  7430   250   334  43       39     40     205    155    4400   11530  7430   24000  114  100 2  0,0002 256   +       130   90       18000  0,032 270  
106  GMN.HCS.230-24000/18            Y   57       272  3000   105   259  28       115    120    255    215    5000   6500   4200   24000  114  100 2  0,0005 256   +       130   90       18000  0,032 270  
107  Hauser-HS-256-A                 Y   115      188  930    50    183  67       50     52     38     31     1500   3290   2130   8860   120  100 3  0,0037 256   +       130   220      25000  0,180 0     
108  HW840CTR1301                    Y   18       411  1240   62    232  0        1250   0      0      0      7650   18000  18000  18000  100  100 3  0,0037 900   +       150   22       7400   0,014 0              
109  MW17/15-4-139/140R0             Y   45       305  2810   100   296  23,5     194    194    175    175    7001   7830   3685   15000  130  100 2  0,0037 256   +       130   72       18000  0,044 150    
110  MW17/15-4-139/140R0-DBL310898B  Y   73       190  2800   100   185  22       72     69     120    97     4700   8550   5600   18000  119  100 2  0,0037 281   +       130   114      18000  0,014 355            
111  MW17/20-4-139/140R0-DBL220999   Y   87       215  2830   100   210  31       54     58     90     85     3800   9160   5900   15000  125  100 2  0,0037 281   +       130   174      25000  0,018 425    
112  MW17/20-4-54/75R1               Y   83       215  2840   100   208  29       52     55     116    96     3700   9900   5920   16000  124  100 2  0,0037 256   +       130   132,8    24000  0,018 0
113  MW18/24-8-149F/149F-DBL031399   Y   76       310  1920   133   295  45       84     76     185    195    3600   4240   2390   12000  153  100 4  0,0037 310   +       140   152      26000  0,011 270            
114  MW20/26-4-56/65                 Y   57       280  2250   77    272  31,5     59     57     130    128    4790   5200   3260   12000  125  100 2  0,0037 256   +       130   120      20000  0,071 0
115  MW20/26-4-56/65                 D   56       290  1200   44    281  19,6     176    171    220    230    7070   2880   1830   12000  125  100 2  0,0037 256   +       130   120      20000  0,071 0
116  MW20/30-4-56/56                 Y   91       197  1000   37    191  36       90     80     90     135    2860   3890   2510   4920   126  100 2  0,0037 256   +       130   175      21000  0,077 400        
117  MW20/30-4-56/56                 D   74       231  2510   85    225  44       30     27     72     110    2900   6860   4470   17870  122  100 2  0,0037 256   +       130   191      21000  0,077 400        
118  MW-DBL070296                    Y   76       145  1650   60    144  29       62     62     90     110    2830   7410   4440   14790  145  100 2  0,0037 256   +       120   81       14000  0,039 0     
119  MW-DBL250396                    Y   57       197  1650   60    191  22       117    109    157    182    5000   6400   3930   14860  130  100 2  0,0037 256   +       120   57       14000  0,039 0     
120  PERSKE-DKE270180/110/65-4       Y   40       233  1100   40    210  21,5     203    210    229    234    5390   3150   2050   12000  145  100 2  0,004  256   +       150   64       10000  0,033 0
121  PERSKE-DKE270180/110/70-4       Y   54       168  1100   40    151  29       100    116    116    123    2837   4200   3000   18000  136  100 2  0,0037 256   +       110   81       10000  0,03  210   
122  PERSKE-DKE320240/165/100-6      Y   53       303  1020   53    283  23       122    99     218    389    6694   2000   1400   8100   120  100 3  0,0037 256   +       110   84,8     20000  0,04  0     
123  QAN-104B                        Y   12       330  1500   52,4  317  7        540    590    990    725    25250  2050   1500   9000   137  100 2  0,0037 2048  +       150   30       4500   0,014 0     
124  QAN-104C                        Y   20       297  1444   50    286  11       340    360    520    520    15000  2100   1600   9000   120  100 2  0,0037 2048  +       150   50       7500   0,028 0     
125  QAN-104D                        Y   28,4     303  1500   52,3  293  16,5     164    223    361    262    9860   2100   1500   9000   140  100 2  0,0037 2048  +       150   71       10000  0,028 0     
126  QAN-134B                        Y   27,8     328  1500   51,1  318  13,5     187    125    450    400    13200  2160   1500   7500   144  100 2  0,0037 2048  +       150   70       12000  0,054 0     
127  QAN-134C                        Y   42       321  1500   51,1  312  20       107    79     256    256    8800   2175   1500   7500   145  100 2  0,0037 2048  +       150   105      18000  0,076 0     
128  QAN-134D                        Y   51,6     323  1250   42,5  316  26,2     86     71     223    239    8125   1810   1250   7500   145  100 2  0,0037 2048  +       150   129      22000  0,118 0     
129  QAN-164B                        Y   57       407  1300   44    397  28       100    90     189    202    8008   1950   1300   6000   140  100 2  0,0037 2048  +       140   140      30000  0,185 0 
130  QAN-2031                        Y   16,5     290  1500   51,9  290  10,2     400    340    68     68     16452  3000   1800   12000  120  100 2  0,004  512   +       150   28,5     5500   0,01  0      
131  QAN-2604A                       Y   38       180  750    25,5  168  20       188    60     99     99     4979   2000   750    10000  150  100 2  0,0037 2048  +       150   48       9000   0,1   0    
132  QAN-2604E                       Y   50       200  750    25,5  180  20,5     100    65     80     80     5100   2000   750    10000  140  100 2  0,004  2048  +       150   64       11000  0,12  0     
133  QAN-3144                        Y   53       250  600    20,8  215  35       100    95     95     95     3600   1500   600    6000   120  100 2  0,004  2048  +       150   96       16000  0,25  0     
134  QAN-33                          Y   19       260  1650   56,7  254  10,0     293    240    730    670    14200  2700   2000   9000   130  100 2  0,004  2048  +       145   95       5500   0,013 0    
135  QAN-34                          Y   20,3     280  1500   52,3  280  7,9      240    230    700    650    20000  2700   2300   9000   100  100 2  0,004  2048  +       145   94       7500   0,021 0
136  QAN-3L                          Y   21       330  1500   51,7  290  10,6     459    230    376    385    16027  2200   1500   9000   130  100 2  0,0037 2048  +       160   105      7500   0,025 0    
137  QAN-3LS                         Y   19       340  1500   51,5  320  11       686    310    391    391    16850  2000   1500   9000   140  100 2  0,0037 2048  +       160   57       7500   0,026 0     
138  QAN-3M                          Y   15,5     330  1500   51,7  330  12,4     688    312    499    481    17133  3000   1500   9000   130  100 2  0,004  2048  +       160   77,5     5500   0,018 0
139  QAN-3S                          Y   10       340  1500   52,5  294  5,4      1840   690    1003   1003   33653  2000   1500   9000   120  100 2  0,004  2048  +       150   15       3700   0,01  0     
140  QAN-3U                          Y   26       330  1500   51,8  330  19,2     393    264    306    318    10080  1900   1500   9000   180  100 2  0,004  2048  +       160   130      10000  0,029 0    
141  QAN-3US                         Y   26       340  1500   51,5  300  14,25    430    220    268    268    12670  3250   1700   9000   170  100 2  0,0037 2048  +       150   78       10000  0,033 0     
142  QAN-41                          Y   29       310  1500   51,7  300  12,8     228    160    630    610    14800  2700   2300   9000   111  100 2  0,004  2048  +       145   145      11000  0,045 0
143  QAN-4S                          Y   31       378  1800   61,2  343  15,5     216    86     310    267    12821  2000   1500   6000   120  100 2  0,004  2048  +       160   155      15000  0,112 0    
144  QAN-4S-7500                     Y   31       378  1800   61,2  343  15,5     216    86     310    267    12821  2000   1500   7500   120  100 2  0,004  2048  +       160   155      15000  0,112 0     
145  SPG-ASYNCHRON-(ASM,SPINDLE)     Y   0,3      24   1250   50    24   0,2      40000  40000  40000  40000  60000  1500   1250   1500   100  100 2  0,0037 2048  +       255   0,297    0      0     0 
146  SPG-ASYNCHRON-(ASM,SPINDLE)     D   0,3      24   1250   50    24   0,2      40000  40000  40000  40000  60000  1500   1250   1500   100  100 2  0,0037 2048  +       255   0,48     0      0     0
147  StepTech-HVC230E-S-18-1,8/15    D   57       235  2910   100   228  24       59     48     157    138    5247   7430   5060   15000  115  100 2  0,0037 256   +       130   114      18000  0,061 0     
148  StepTech-HVC230E-S-18-1,8/15    Y   49       290  1800   64    280  17       176    143    294    251    8310   4370   2910   6000   120  100 2  0,0037 256   +       130   98       18000  0,061 0    
149  StepTech-HVC230E-S-20-1,2/12    D   57       280  2250   77    273  31,5     59     57     130    128    4790   5200   3260   12000  125  100 2  0,0037 256   +       135   114      20000  0,071 0    
150  StepTech-HVC230E-S-20-1,2/12    Y   56       290  1200   44    281  19,6     176    171    220    230    7070   2880   1830   3110   125  100 2  0,0037 256   +       135   112      20000  0,071 0    
151  StepTech-HVC230-S-24-04/24      Y   12,5     268  1500   53    235  6,2      735    510    1187   1608   22870  3100   2375   9000   109  100 2  0,0037 256   +       130   25       3700   0,011 0     
152  StepTech-HVCS212                Y   56       172  1760   63    167  25       82     85     115    107    3600   7900   4450   18000  133  100 2  0,0037 256   +       150   112      12000  0,018 0     
153  WEISS-DBL160497                 Y   42       204  1130   42    198  19       184    205    175    186    5730   4400   2500   15000  134  100 2  0,0037 256   +       150   84       10000  0,023 170  
154  WEISS-DBL160497                 D   38       272  2950   100   265  29       64     68     140    130    5170   7750   4380   15000  133  100 2  0,0037 256   +       150   76       10000  0,023 170  
155  WEISS-DBL170497                 Y   22       296  950    35    287  11,5     540    601    428    487    13740  2570   1430   12000  135  100 2  0,0037 256   +       150   51       7000   0,023 340  
156  WEISS-DBL170497                 D   23       311  1960   67    303  17,5     190    200    280    285    10230  4580   2540   12000  133  100 2  0,0037 256   +       150   51       7000   0,023 340  
157  WEISS-DBL180597                 Y   21       400  14700  500   378  9,6      240    173    1267   1660   21920  19500  14700  42000  110  100 2  0,0037 128   +       150   51       10000  0,001 340  
158  WEISS-DBL180597                 D   23       334  29240  500   320  4,7      180    135    1360   890    32100  55000  35400  42000  130  100 1  0,0037 128   +       150   51       10000  0,001 340  
159  WEISS-DBL190897                 D   24       311  1970   67    303  18,5     190    180    265    310    9470   4590   2550   12000  142  100 2  0,0037 256   +       150   51       7000   0,023 340  
160  WEISS-DBL190897                 Y   22       290  950    35    281  11,8     570    545    405    545    13400  2580   1410   12000  142  100 2  0,0037 256   +       150   51       7000   0,023 340  
161  WEISS-DBL200897                 D   37       272  2950   100   265  27,5     70     67     150    165    5530   7500   4380   15000  133  100 2  0,0037 256   +       150   76       10000  0,023 170   
162  WEISS-DBL200897                 Y   41       211  1100   42    204  19       210    200    180    225    5950   4300   2500   15000  134  100 2  0,0037 256   +       150   84       10000  0,023 170    
163  WEISS-DBL200897-16000           Y   41       211  1100   42    204  19       210    200    180    225    5950   4300   2500   16000  134  100 2  0,0037 256   +       150   84       10000  0,023 170            
164  WEISS-DBL200897-16000           D   37       272  2950   100   265  27,5     70     67     150    165    5530   7500   4380   16000  133  100 2  0,0037 256   +       150   76       10000  0,023 170            
165  WEISS-DBL220699                 Y   60       228  2830   100   220  24       90     80     170    120    5200   9150   5310   24000  135  100 2  0,0037 256   +       150   120      18000  0,036 170            
166  WEISS-DBL220699                 D   47       400  9550   320   389  36       30     27     187    120    6367   15700  9550   24000  129  100 2  0,0037 256   +       150   94       18000  0,036 170            
167  ***
[END]

